PROCEDURE,Amount,Key_FS,Source
37790,490.04,37790,Capital
38100,"1,199.45",38100,Capital
38101,"1,219.00",38101,Capital
38102,272.79,38102,Capital
38115,"1,353.26",38115,Capital
38120,"1,105.63",38120,Capital
38200,129.01,38200,Capital
38205,82.66,38205,Capital
38206,81.10,38206,Capital
38220,151.84,38220,Capital
38221,157.01,38221,Capital
38222,169.57,38222,Capital
38230,208.79,38230,Capital
38232,191.48,38232,Capital
38240,236.59,38240,Capital
38241,175.03,38241,Capital
38242,123.70,38242,Capital
38243,121.55,38243,Capital
38300,334.09,38300,Capital
38305,512.87,38305,Capital
38308,486.34,38308,Capital
38380,588.52,38380,Capital
38381,834.60,38381,Capital
38382,706.98,38382,Capital
38500,340.95,38500,Capital
38505,169.00,38505,Capital
38510,533.92,38510,Capital
38520,481.51,38520,Capital
38525,458.50,38525,Capital
38530,581.31,38530,Capital
38531,464.92,38531,Capital
38542,534.96,38542,Capital
38550,541.45,38550,Capital
38555,"1,068.66",38555,Capital
38562,722.68,38562,Capital
38564,724.86,38564,Capital
38570,529.03,38570,Capital
38571,669.94,38571,Capital
38572,916.65,38572,Capital
38573,"1,204.94",38573,Capital
38700,818.51,38700,Capital
38720,"1,374.80",38720,Capital
38724,"1,477.52",38724,Capital
38740,731.74,38740,Capital
38745,921.70,38745,Capital
38746,222.76,38746,Capital
38747,278.44,38747,Capital
38760,864.42,38760,Capital
38765,"1,352.60",38765,Capital
38770,822.05,38770,Capital
38780,"1,081.68",38780,Capital
38790,82.43,38790,Capital
38792,79.99,38792,Capital
38794,279.59,38794,Capital
38900,143.32,38900,Capital
39000,518.99,39000,Capital
39010,816.51,39010,Capital
39200,902.69,39200,Capital
39220,"1,172.26",39220,Capital
39401,318.55,39401,Capital
39402,417.40,39402,Capital
39501,886.15,39501,Capital
39503,"6,040.92",39503,Capital
39540,903.36,39540,Capital
39541,971.72,39541,Capital
39545,926.96,39545,Capital
39560,829.66,39560,Capital
39561,"1,299.86",39561,Capital
40490,119.87,40490,Capital
40500,519.92,40500,Capital
40510,484.34,40510,Capital
40520,497.50,40520,Capital
40525,558.92,40525,Capital
40527,636.99,40527,Capital
40530,553.92,40530,Capital
40650,476.74,40650,Capital
40652,512.36,40652,Capital
40654,581.12,40654,Capital
40700,"1,022.04",40700,Capital
40701,"1,207.75",40701,Capital
40702,"1,014.15",40702,Capital
40720,"1,040.68",40720,Capital
40761,"1,094.30",40761,Capital
40800,194.98,40800,Capital
40801,284.40,40801,Capital
40804,183.58,40804,Capital
40805,277.67,40805,Capital
40806,95.37,40806,Capital
40808,163.96,40808,Capital
40810,210.02,40810,Capital
40812,269.94,40812,Capital
40814,363.56,40814,Capital
40816,396.26,40816,Capital
40818,354.11,40818,Capital
40819,263.30,40819,Capital
40820,248.88,40820,Capital
40830,217.90,40830,Capital
40831,287.14,40831,Capital
40840,858.57,40840,Capital
40842,925.93,40842,Capital
40843,"1,196.84",40843,Capital
40844,"1,506.50",40844,Capital
40845,"1,479.78",40845,Capital
41000,142.07,41000,Capital
41005,219.41,41005,Capital
41006,331.17,41006,Capital
41007,320.66,41007,Capital
41008,384.13,41008,Capital
41009,414.08,41009,Capital
41010,209.04,41010,Capital
41015,390.34,41015,Capital
41016,454.05,41016,Capital
41017,453.39,41017,Capital
41018,513.60,41018,Capital
41019,485.70,41019,Capital
41100,182.96,41100,Capital
41105,183.68,41105,Capital
41108,163.47,41108,Capital
41110,223.82,41110,Capital
41112,331.44,41112,Capital
41113,354.16,41113,Capital
41114,626.14,41114,Capital
41115,254.21,41115,Capital
41116,325.78,41116,Capital
41120,"1,042.74",41120,Capital
41130,"1,299.38",41130,Capital
41135,"2,159.89",41135,Capital
41140,"2,169.14",41140,Capital
41145,"2,736.86",41145,Capital
41150,"2,188.70",41150,Capital
41153,"2,385.86",41153,Capital
41155,"2,981.65",41155,Capital
41250,277.49,41250,Capital
41251,308.30,41251,Capital
41252,322.07,41252,Capital
41510,443.52,41510,Capital
41512,658.03,41512,Capital
41520,358.74,41520,Capital
41530,870.26,41530,Capital
41800,280.50,41800,Capital
41805,293.63,41805,Capital
41806,393.65,41806,Capital
41822,346.71,41822,Capital
41823,519.51,41823,Capital
41825,213.39,41825,Capital
41826,289.38,41826,Capital
41827,421.48,41827,Capital
41828,348.57,41828,Capital
41830,459.45,41830,Capital
41872,460.29,41872,Capital
41874,373.29,41874,Capital
42000,157.96,42000,Capital
42100,143.86,42100,Capital
42104,212.67,42104,Capital
42106,244.43,42106,Capital
42107,436.09,42107,Capital
42120,994.76,42120,Capital
42140,301.11,42140,Capital
42145,695.32,42145,Capital
42160,221.30,42160,Capital
42180,252.52,42180,Capital
42182,329.20,42182,Capital
42200,936.67,42200,Capital
42205,977.52,42205,Capital
42210,"1,089.60",42210,Capital
42215,708.86,42215,Capital
42220,583.16,42220,Capital
42225,973.35,42225,Capital
42226,900.62,42226,Capital
42227,840.29,42227,Capital
42235,736.66,42235,Capital
42260,861.21,42260,Capital
42280,171.82,42280,Capital
42281,218.36,42281,Capital
42300,212.74,42300,Capital
42305,439.58,42305,Capital
42310,167.34,42310,Capital
42320,257.81,42320,Capital
42330,231.66,42330,Capital
42335,424.82,42335,Capital
42340,525.93,42340,Capital
42400,92.76,42400,Capital
42405,303.10,42405,Capital
42408,526.96,42408,Capital
42409,387.10,42409,Capital
42410,641.86,42410,Capital
42415,"1,077.52",42415,Capital
42420,"1,205.83",42420,Capital
42425,854.37,42425,Capital
42426,"1,374.46",42426,Capital
42440,422.97,42440,Capital
42450,470.00,42450,Capital
42500,445.08,42500,Capital
42505,573.98,42505,Capital
42507,497.35,42507,Capital
42509,825.10,42509,Capital
42510,612.88,42510,Capital
42550,148.05,42550,Capital
42600,539.10,42600,Capital
42650,73.87,42650,Capital
42660,112.44,42660,Capital
42665,368.18,42665,Capital
42700,189.83,42700,Capital
42720,450.67,42720,Capital
42725,811.41,42725,Capital
42800,156.75,42800,Capital
42804,210.23,42804,Capital
42806,235.57,42806,Capital
42808,230.94,42808,Capital
42809,204.85,42809,Capital
42810,385.20,42810,Capital
42815,543.79,42815,Capital
42820,296.05,42820,Capital
42821,308.88,42821,Capital
42825,271.42,42825,Capital
42826,259.10,42826,Capital
42830,215.21,42830,Capital
42831,233.23,42831,Capital
42835,200.51,42835,Capital
42836,248.49,42836,Capital
42842,"1,006.01",42842,Capital
42844,"1,371.77",42844,Capital
42845,"2,207.84",42845,Capital
42860,196.11,42860,Capital
42870,579.83,42870,Capital
42890,"1,415.81",42890,Capital
42892,"1,862.77",42892,Capital
42894,"2,365.86",42894,Capital
42900,336.98,42900,Capital
42950,787.63,42950,Capital
42953,942.97,42953,Capital
42955,750.74,42955,Capital
42960,163.45,42960,Capital
42961,424.45,42961,Capital
42962,523.91,42962,Capital
42970,416.72,42970,Capital
42971,459.81,42971,Capital
42972,514.80,42972,Capital
42975,98.25,42975,Capital
43020,589.00,43020,Capital
43030,533.66,43030,Capital
43045,"1,352.67",43045,Capital
43100,646.54,43100,Capital
43101,"1,043.98",43101,Capital
43107,"3,088.59",43107,Capital
43108,"4,616.33",43108,Capital
43112,"3,583.05",43112,Capital
43113,"4,511.14",43113,Capital
43116,"5,162.27",43116,Capital
43117,"3,378.66",43117,Capital
43118,"3,764.46",43118,Capital
43121,"2,966.79",43121,Capital
43122,"2,670.97",43122,Capital
43123,"4,676.09",43123,Capital
43124,"3,951.55",43124,Capital
43130,813.00,43130,Capital
43135,"1,526.89",43135,Capital
43180,556.09,43180,Capital
43191,157.45,43191,Capital
43192,172.03,43192,Capital
43193,171.41,43193,Capital
43194,194.56,43194,Capital
43195,187.37,43195,Capital
43196,197.87,43196,Capital
43197,186.23,43197,Capital
43198,206.40,43198,Capital
43200,253.89,43200,Capital
43201,251.40,43201,Capital
43202,341.02,43202,Capital
43204,134.24,43204,Capital
43205,140.44,43205,Capital
43206,293.56,43206,Capital
43210,436.47,43210,Capital
43211,233.51,43211,Capital
43212,191.04,43212,Capital
43213,"1,160.26",43213,Capital
43214,195.83,43214,Capital
43215,379.20,43215,Capital
43216,391.70,43216,Capital
43217,405.33,43217,Capital
43220,843.87,43220,Capital
43226,372.19,43226,Capital
43227,567.35,43227,Capital
43229,676.79,43229,Capital
43231,156.22,43231,Capital
43232,198.04,43232,Capital
43233,231.02,43233,Capital
43235,278.77,43235,Capital
43236,386.14,43236,Capital
43237,194.49,43237,Capital
43238,230.75,43238,Capital
43239,362.99,43239,Capital
43240,390.28,43240,Capital
43241,142.49,43241,Capital
43242,261.28,43242,Capital
43243,237.87,43243,Capital
43244,243.65,43244,Capital
43245,568.33,43245,Capital
43246,202.00,43246,Capital
43247,372.75,43247,Capital
43248,399.50,43248,Capital
43249,"1,013.84",43249,Capital
43250,434.33,43250,Capital
43251,477.08,43251,Capital
43252,330.76,43252,Capital
43253,260.97,43253,Capital
43254,268.48,43254,Capital
43255,598.80,43255,Capital
43257,235.21,43257,Capital
43259,224.22,43259,Capital
43260,321.22,43260,Capital
43261,337.23,43261,Capital
43262,354.86,43262,Capital
43263,355.66,43263,Capital
43264,362.04,43264,Capital
43265,430.97,43265,Capital
43266,217.83,43266,Capital
43270,697.44,43270,Capital
43273,118.55,43273,Capital
43274,460.69,43274,Capital
43275,374.29,43275,Capital
43276,479.63,43276,Capital
43277,376.25,43277,Capital
43278,431.12,43278,Capital
43279,"1,341.72",43279,Capital
43280,"1,127.27",43280,Capital
43281,"1,608.49",43281,Capital
43282,"1,812.75",43282,Capital
43283,165.00,43283,Capital
43284,681.81,43284,Capital
43285,701.28,43285,Capital
43286,"3,294.08",43286,Capital
43287,"3,689.15",43287,Capital
43288,"3,888.39",43288,Capital
43290,"2,458.96",43290,Capital
43291,442.64,43291,Capital
43300,635.44,43300,Capital
43305,"1,113.16",43305,Capital
43310,"1,539.63",43310,Capital
43312,"1,651.86",43312,Capital
43313,"3,035.97",43313,Capital
43314,"3,258.13",43314,Capital
43320,"1,463.99",43320,Capital
43325,"1,422.45",43325,Capital
43327,851.52,43327,Capital
43328,"1,165.67",43328,Capital
43330,"1,399.54",43330,Capital
43331,"1,390.29",43331,Capital
43332,"1,199.89",43332,Capital
43333,"1,314.62",43333,Capital
43334,"1,287.71",43334,Capital
43335,"1,386.16",43335,Capital
43336,"1,503.77",43336,Capital
43337,"1,602.64",43337,Capital
43338,119.02,43338,Capital
43340,"1,445.99",43340,Capital
43341,"1,454.70",43341,Capital
43351,"1,368.41",43351,Capital
43352,"1,106.99",43352,Capital
43360,"2,337.65",43360,Capital
43361,"2,824.75",43361,Capital
43400,"1,595.62",43400,Capital
43405,"1,512.87",43405,Capital
43410,"1,049.39",43410,Capital
43415,"2,678.79",43415,Capital
43420,"1,034.43",43420,Capital
43425,"1,497.33",43425,Capital
43450,181.21,43450,Capital
43453,748.67,43453,Capital
43460,211.17,43460,Capital
43497,794.88,43497,Capital
43500,822.46,43500,Capital
43501,"1,414.54",43501,Capital
43502,"1,599.60",43502,Capital
43510,994.01,43510,Capital
43520,719.17,43520,Capital
43605,872.63,43605,Capital
43610,"1,021.66",43610,Capital
43611,"1,283.42",43611,Capital
43620,"2,078.46",43620,Capital
43621,"2,380.08",43621,Capital
43622,"2,422.87",43622,Capital
43631,"1,515.80",43631,Capital
43632,"2,130.66",43632,Capital
43633,"2,014.91",43633,Capital
43634,"2,228.25",43634,Capital
43635,117.75,43635,Capital
43640,"1,247.98",43640,Capital
43641,"1,262.37",43641,Capital
43644,"1,821.07",43644,Capital
43645,"1,933.69",43645,Capital
43651,687.44,43651,Capital
43652,802.25,43652,Capital
43653,601.43,43653,Capital
43752,40.29,43752,Capital
43753,22.33,43753,Capital
43754,222.62,43754,Capital
43755,194.36,43755,Capital
43756,261.57,43756,Capital
43757,352.16,43757,Capital
43761,126.10,43761,Capital
43762,215.48,43762,Capital
43763,320.46,43763,Capital
43770,"1,177.11",43770,Capital
43771,"1,337.55",43771,Capital
43772,995.66,43772,Capital
43773,"1,337.55",43773,Capital
43774,"1,006.29",43774,Capital
43775,"1,165.44",43775,Capital
43800,973.62,43800,Capital
43810,"1,066.08",43810,Capital
43820,"1,406.56",43820,Capital
43825,"1,374.40",43825,Capital
43830,731.55,43830,Capital
43831,632.50,43831,Capital
43832,"1,095.51",43832,Capital
43840,"1,421.71",43840,Capital
43843,"1,345.63",43843,Capital
43845,"2,053.08",43845,Capital
43846,"1,730.45",43846,Capital
43847,"1,894.49",43847,Capital
43848,"2,028.91",43848,Capital
43860,"1,709.58",43860,Capital
43865,"1,792.90",43865,Capital
43870,738.47,43870,Capital
43880,"1,684.16",43880,Capital
43886,380.94,43886,Capital
43887,345.11,43887,Capital
43888,483.00,43888,Capital
44005,"1,138.96",44005,Capital
44010,870.04,44010,Capital
44015,147.57,44015,Capital
44020,"1,015.71",44020,Capital
44021,"1,013.22",44021,Capital
44025,"1,023.10",44025,Capital
44050,977.89,44050,Capital
44055,"1,557.33",44055,Capital
44100,106.79,44100,Capital
44110,880.39,44110,Capital
44111,"1,013.26",44111,Capital
44120,"1,275.26",44120,Capital
44121,251.36,44121,Capital
44125,"1,221.94",44125,Capital
44126,"2,586.48",44126,Capital
44127,"2,989.27",44127,Capital
44128,255.13,44128,Capital
44130,"1,370.07",44130,Capital
44139,124.62,44139,Capital
44140,"1,396.21",44140,Capital
44141,"1,879.11",44141,Capital
44143,"1,714.27",44143,Capital
44144,"1,829.23",44144,Capital
44145,"1,704.72",44145,Capital
44146,"2,164.29",44146,Capital
44147,"2,007.16",44147,Capital
44150,"1,908.06",44150,Capital
44151,"2,239.45",44151,Capital
44155,"2,122.49",44155,Capital
44156,"2,394.29",44156,Capital
44157,"2,277.69",44157,Capital
44158,"2,335.42",44158,Capital
44160,"1,289.86",44160,Capital
44180,960.34,44180,Capital
44186,680.26,44186,Capital
44187,"1,113.31",44187,Capital
44188,"1,247.36",44188,Capital
44202,"1,442.45",44202,Capital
44203,250.07,44203,Capital
44204,"1,586.38",44204,Capital
44205,"1,373.97",44205,Capital
44206,"1,797.74",44206,Capital
44207,"1,860.17",44207,Capital
44208,"2,021.23",44208,Capital
44210,"1,804.50",44210,Capital
44211,"2,124.37",44211,Capital
44212,"2,053.17",44212,Capital
44213,191.85,44213,Capital
44227,"1,711.60",44227,Capital
44300,878.75,44300,Capital
44310,"1,075.10",44310,Capital
44312,615.29,44312,Capital
44314,"1,032.53",44314,Capital
44316,"1,482.36",44316,Capital
44320,"1,243.24",44320,Capital
44322,"1,032.37",44322,Capital
44340,649.71,44340,Capital
44345,"1,084.32",44345,Capital
44346,"1,222.14",44346,Capital
44360,143.22,44360,Capital
44361,157.76,44361,Capital
44363,190.58,44363,Capital
44364,202.99,44364,Capital
44365,181.59,44365,Capital
44366,238.09,44366,Capital
44369,243.98,44369,Capital
44370,265.27,44370,Capital
44372,239.32,44372,Capital
44373,190.79,44373,Capital
44376,281.73,44376,Capital
44377,298.07,44377,Capital
44378,382.30,44378,Capital
44379,407.50,44379,Capital
44380,188.59,44380,Capital
44381,917.40,44381,Capital
44382,284.39,44382,Capital
44384,152.64,44384,Capital
44385,208.45,44385,Capital
44386,297.33,44386,Capital
44388,309.26,44388,Capital
44388,154.72,4438853,Capital
44389,398.86,44389,Capital
44390,394.43,44390,Capital
44391,614.19,44391,Capital
44392,383.05,44392,Capital
44394,428.36,44394,Capital
44401,"2,213.56",44401,Capital
44402,259.97,44402,Capital
44403,302.92,44403,Capital
44404,407.31,44404,Capital
44405,532.40,44405,Capital
44406,228.13,44406,Capital
44407,273.53,44407,Capital
44408,230.09,44408,Capital
44500,19.00,44500,Capital
44602,"1,468.43",44602,Capital
44603,"1,680.65",44603,Capital
44604,"1,096.53",44604,Capital
44605,"1,336.07",44605,Capital
44615,"1,106.20",44615,Capital
44620,891.84,44620,Capital
44625,"1,039.90",44625,Capital
44626,"1,647.82",44626,Capital
44640,"1,446.65",44640,Capital
44650,"1,489.21",44650,Capital
44660,"1,381.74",44660,Capital
44661,"1,591.11",44661,Capital
44680,"1,127.73",44680,Capital
44700,"1,025.67",44700,Capital
44701,177.44,44701,Capital
44720,286.20,44720,Capital
44721,400.53,44721,Capital
44800,807.76,44800,Capital
44820,891.80,44820,Capital
44850,778.70,44850,Capital
44900,820.53,44900,Capital
44950,671.48,44950,Capital
44955,86.62,44955,Capital
44960,917.14,44960,Capital
44970,628.78,44970,Capital
45000,438.32,45000,Capital
45005,309.61,45005,Capital
45020,581.52,45020,Capital
45100,308.47,45100,Capital
45108,388.66,45108,Capital
45110,"1,850.58",45110,Capital
45111,"1,118.15",45111,Capital
45112,"1,829.56",45112,Capital
45113,"1,876.89",45113,Capital
45114,"1,902.80",45114,Capital
45116,"1,557.86",45116,Capital
45119,"1,891.12",45119,Capital
45120,"1,674.09",45120,Capital
45121,"1,829.12",45121,Capital
45123,"1,133.27",45123,Capital
45126,"2,792.96",45126,Capital
45130,"1,105.11",45130,Capital
45135,"1,307.18",45135,Capital
45136,"1,794.07",45136,Capital
45150,440.25,45150,Capital
45160,"1,072.99",45160,Capital
45171,625.11,45171,Capital
45172,836.38,45172,Capital
45190,704.69,45190,Capital
45300,124.35,45300,Capital
45303,885.32,45303,Capital
45305,176.02,45305,Capital
45307,210.78,45307,Capital
45308,200.68,45308,Capital
45309,207.18,45309,Capital
45315,224.65,45315,Capital
45317,216.51,45317,Capital
45320,219.74,45320,Capital
45321,107.66,45321,Capital
45327,121.73,45327,Capital
45330,178.70,45330,Capital
45331,273.38,45331,Capital
45332,268.06,45332,Capital
45333,314.89,45333,Capital
45334,467.55,45334,Capital
45335,277.07,45335,Capital
45337,114.69,45337,Capital
45338,289.33,45338,Capital
45340,431.51,45340,Capital
45341,123.46,45341,Capital
45342,170.67,45342,Capital
45346,"2,134.48",45346,Capital
45347,153.59,45347,Capital
45349,196.96,45349,Capital
45350,632.57,45350,Capital
45378,332.73,45378,Capital
45378,166.21,4537853,Capital
45379,424.76,45379,Capital
45380,421.29,45380,Capital
45381,429.74,45381,Capital
45382,640.38,45382,Capital
45384,476.47,45384,Capital
45385,444.50,45385,Capital
45386,585.43,45386,Capital
45388,"2,289.34",45388,Capital
45389,288.42,45389,Capital
45390,331.03,45390,Capital
45391,256.23,45391,Capital
45392,302.92,45392,Capital
45393,251.91,45393,Capital
45395,"1,991.56",45395,Capital
45397,"2,149.03",45397,Capital
45398,786.68,45398,Capital
45400,"1,153.04",45400,Capital
45402,"1,552.01",45402,Capital
45500,589.34,45500,Capital
45505,610.40,45505,Capital
45520,154.40,45520,Capital
45540,"1,069.14",45540,Capital
45541,958.87,45541,Capital
45550,"1,479.91",45550,Capital
45560,705.32,45560,Capital
45562,"1,215.87",45562,Capital
45563,"1,726.30",45563,Capital
45800,"1,325.86",45800,Capital
45805,"1,529.09",45805,Capital
45820,"1,329.46",45820,Capital
45825,"1,599.56",45825,Capital
45900,220.19,45900,Capital
45905,172.89,45905,Capital
45910,196.22,45910,Capital
45915,349.51,45915,Capital
45990,108.09,45990,Capital
46020,119.37,46020,Capital
46030,245.28,46030,Capital
46040,555.36,46040,Capital
46045,449.25,46045,Capital
46050,229.47,46050,Capital
46060,494.19,46060,Capital
46070,275.41,46070,Capital
46080,284.29,46080,Capital
46083,203.82,46083,Capital
46200,466.26,46200,Capital
46220,245.03,46220,Capital
46221,277.76,46221,Capital
46230,308.54,46230,Capital
46250,473.77,46250,Capital
46255,515.91,46255,Capital
46257,418.82,46257,Capital
46258,499.52,46258,Capital
46260,492.36,46260,Capital
46261,544.85,46261,Capital
46262,606.19,46262,Capital
46270,530.79,46270,Capital
46275,559.91,46275,Capital
46280,487.23,46280,Capital
46285,559.95,46285,Capital
46288,567.46,46288,Capital
46320,209.87,46320,Capital
46500,301.54,46500,Capital
46505,312.46,46505,Capital
46600,113.44,46600,Capital
46601,147.86,46601,Capital
46604,606.30,46604,Capital
46606,268.92,46606,Capital
46607,204.95,46607,Capital
46608,280.47,46608,Capital
46610,263.97,46610,Capital
46611,215.44,46611,Capital
46612,320.24,46612,Capital
46614,162.82,46614,Capital
46615,173.14,46615,Capital
46700,661.95,46700,Capital
46705,589.18,46705,Capital
46706,186.28,46706,Capital
46707,519.02,46707,Capital
46710,"1,155.89",46710,Capital
46712,"2,313.04",46712,Capital
46715,574.65,46715,Capital
46716,"1,279.85",46716,Capital
46730,"2,070.16",46730,Capital
46735,"2,386.12",46735,Capital
46740,"2,260.84",46740,Capital
46742,"2,616.05",46742,Capital
46744,"3,696.93",46744,Capital
46746,"4,074.01",46746,Capital
46748,"4,416.80",46748,Capital
46750,763.07,46750,Capital
46751,692.70,46751,Capital
46753,643.19,46753,Capital
46754,342.52,46754,Capital
46760,"1,110.40",46760,Capital
46761,931.33,46761,Capital
46900,235.23,46900,Capital
46910,258.81,46910,Capital
46916,253.62,46916,Capital
46917,425.86,46917,Capital
46922,305.51,46922,Capital
46924,535.70,46924,Capital
46930,211.26,46930,Capital
46940,262.23,46940,Capital
46942,249.08,46942,Capital
46945,339.91,46945,Capital
46946,380.65,46946,Capital
46947,401.13,46947,Capital
46948,449.71,46948,Capital
47000,285.70,47000,Capital
47001,108.10,47001,Capital
47010,"1,263.42",47010,Capital
47015,"1,214.95",47015,Capital
47100,882.64,47100,Capital
47120,"2,435.05",47120,Capital
47122,"3,568.24",47122,Capital
47125,"3,215.88",47125,Capital
47130,"3,452.76",47130,Capital
47135,"5,635.30",47135,Capital
47140,"3,736.56",47140,Capital
47141,"4,466.43",47141,Capital
47142,"4,920.43",47142,Capital
47146,342.48,47146,Capital
47147,399.69,47147,Capital
47300,"1,184.61",47300,Capital
47350,"1,417.11",47350,Capital
47360,"1,959.31",47360,Capital
47361,"3,134.54",47361,Capital
47362,"1,514.31",47362,Capital
47370,"1,311.68",47370,Capital
47371,"1,318.97",47371,Capital
47380,"1,510.63",47380,Capital
47381,"1,552.19",47381,Capital
47382,"3,413.50",47382,Capital
47383,"5,439.13",47383,Capital
47400,"2,249.93",47400,Capital
47420,"1,396.71",47420,Capital
47425,"1,428.78",47425,Capital
47460,"1,326.08",47460,Capital
47480,906.88,47480,Capital
47490,324.08,47490,Capital
47531,395.38,47531,Capital
47532,791.48,47532,Capital
47533,"1,092.08",47533,Capital
47534,"1,205.83",47534,Capital
47535,830.96,47535,Capital
47536,594.45,47536,Capital
47537,459.47,47537,Capital
47538,"3,458.45",47538,Capital
47539,"3,902.38",47539,Capital
47540,"3,895.15",47540,Capital
47541,"1,098.74",47541,Capital
47542,469.36,47542,Capital
47543,372.83,47543,Capital
47544,781.18,47544,Capital
47550,170.42,47550,Capital
47552,279.73,47552,Capital
47553,281.36,47553,Capital
47554,451.51,47554,Capital
47555,335.40,47555,Capital
47556,380.04,47556,Capital
47562,690.53,47562,Capital
47563,751.04,47563,Capital
47564,"1,168.86",47564,Capital
47570,813.00,47570,Capital
47600,"1,117.65",47600,Capital
47605,"1,178.11",47605,Capital
47610,"1,306.50",47610,Capital
47612,"1,333.43",47612,Capital
47620,"1,440.55",47620,Capital
47700,"1,105.04",47700,Capital
47701,"1,815.89",47701,Capital
47711,"1,626.90",47711,Capital
47712,"2,088.76",47712,Capital
47715,"1,390.76",47715,Capital
47720,"1,205.79",47720,Capital
47721,"1,416.27",47721,Capital
47740,"1,372.45",47740,Capital
47741,"1,543.18",47741,Capital
47760,"2,352.11",47760,Capital
47765,"3,173.55",47765,Capital
47780,"2,590.77",47780,Capital
47785,"3,386.04",47785,Capital
47800,"1,615.86",47800,Capital
47801,"1,163.92",47801,Capital
47802,"1,593.63",47802,Capital
47900,"1,441.45",47900,Capital
48000,"1,971.39",48000,Capital
48001,"2,416.23",48001,Capital
48020,"1,233.81",48020,Capital
48100,931.20,48100,Capital
48102,492.93,48102,Capital
48105,"2,919.28",48105,Capital
48120,"1,166.23",48120,Capital
48140,"1,637.31",48140,Capital
48145,"1,710.21",48145,Capital
48146,"1,966.31",48146,Capital
48148,"1,308.22",48148,Capital
48150,"3,254.05",48150,Capital
48152,"3,016.91",48152,Capital
48153,"3,244.90",48153,Capital
48154,"3,030.31",48154,Capital
48155,"1,893.66",48155,Capital
48400,111.37,48400,Capital
48500,"1,199.41",48500,Capital
48510,"1,143.65",48510,Capital
48520,"1,151.52",48520,Capital
48540,"1,369.51",48540,Capital
48545,"1,409.81",48545,Capital
48547,"1,876.89",48547,Capital
48548,"1,750.93",48548,Capital
48552,246.95,48552,Capital
48554,"2,719.45",48554,Capital
48556,"1,342.54",48556,Capital
49000,799.60,49000,Capital
49002,"1,087.10",49002,Capital
49010,961.78,49010,Capital
49013,478.69,49013,Capital
49014,396.88,49014,Capital
49020,"1,659.15",49020,Capital
49040,"1,044.61",49040,Capital
49060,"1,137.15",49060,Capital
49062,804.97,49062,Capital
49082,204.50,49082,Capital
49083,280.04,49083,Capital
49084,111.08,49084,Capital
49180,168.83,49180,Capital
49185,"1,170.61",49185,Capital
49203,"1,240.02",49203,Capital
49204,"1,581.91",49204,Capital
49205,"1,816.48",49205,Capital
49215,"2,299.55",49215,Capital
49250,616.63,49250,Capital
49255,820.19,49255,Capital
49320,342.69,49320,Capital
49321,357.37,49321,Capital
49322,389.97,49322,Capital
49323,663.47,49323,Capital
49324,404.42,49324,Capital
49325,431.79,49325,Capital
49326,197.52,49326,Capital
49327,136.23,49327,Capital
49400,146.68,49400,Capital
49402,891.85,49402,Capital
49405,831.68,49405,Capital
49406,831.99,49406,Capital
49407,714.06,49407,Capital
49411,461.48,49411,Capital
49412,86.19,49412,Capital
49418,920.37,49418,Capital
49419,431.66,49419,Capital
49421,236.71,49421,Capital
49422,230.54,49422,Capital
49423,545.17,49423,Capital
49424,170.32,49424,Capital
49425,816.24,49425,Capital
49426,700.81,49426,Capital
49427,39.38,49427,Capital
49428,450.43,49428,Capital
49429,478.43,49429,Capital
49435,123.52,49435,Capital
49436,520.68,49436,Capital
49440,781.03,49440,Capital
49441,906.71,49441,Capital
49442,744.84,49442,Capital
49446,747.53,49446,Capital
49450,553.55,49450,Capital
49451,593.25,49451,Capital
49452,722.52,49452,Capital
49460,679.13,49460,Capital
49465,129.64,49465,Capital
49491,835.61,49491,Capital
49492,"1,005.69",49492,Capital
49495,427.65,49495,Capital
49496,644.20,49496,Capital
49500,433.66,49500,Capital
49501,634.97,49501,Capital
49505,546.17,49505,Capital
49507,614.18,49507,Capital
49520,663.23,49520,Capital
49521,749.95,49521,Capital
49525,599.70,49525,Capital
49540,701.35,49540,Capital
49550,604.24,49550,Capital
49553,660.96,49553,Capital
49555,633.02,49555,Capital
49557,756.38,49557,Capital
49591,358.77,49591,Capital
49592,499.84,49592,Capital
49593,602.03,49593,Capital
49594,784.58,49594,Capital
49595,810.23,49595,Capital
49596,"1,074.59",49596,Capital
49600,769.01,49600,Capital
49605,"5,157.15",49605,Capital
49606,"1,190.55",49606,Capital
49610,726.58,49610,Capital
49611,639.14,49611,Capital
49613,441.94,49613,Capital
49614,600.09,49614,Capital
49615,670.80,49615,Capital
49616,902.97,49616,Capital
49617,928.51,49617,Capital
49618,"1,302.71",49618,Capital
49621,775.02,49621,Capital
49622,955.43,49622,Capital
49623,205.33,49623,Capital
49650,451.47,49650,Capital
49651,589.79,49651,Capital
49900,854.10,49900,Capital
49904,"1,436.63",49904,Capital
49905,367.16,49905,Capital
50010,711.55,50010,Capital
50020,"1,022.66",50020,Capital
50040,932.22,50040,Capital
50045,939.11,50045,Capital
50060,"1,146.86",50060,Capital
50065,"1,215.30",50065,Capital
50070,"1,192.21",50070,Capital
50075,"1,465.47",50075,Capital
50080,701.97,50080,Capital
50081,"1,132.84",50081,Capital
50100,"1,131.63",50100,Capital
50120,956.41,50120,Capital
50125,989.52,50125,Capital
50130,"1,039.31",50130,Capital
50135,"1,127.88",50135,Capital
50200,484.58,50200,Capital
